签单日期,销售合同号,客户,物料名称,规格型号,物料编码,"销售
单位","销售
数量",单价,价税合计,价税合计（本位币）,销售员,备注
2023/1/3,XR43M2301001,福建圣农食品（浦城）有限公司,SRMTEC冷冻油,S019 208L/桶,600677,升,2080,46,95680,95680,张孝闽,
2023/1/4,XR43W2301003,福建圣农发展股份有限公司,氨气主机（深圳）,MIC-2000-32,10990230,台,3,5000,15000,15000,张孝闽,
2023/1/4,XR43W2301003,福建圣农发展股份有限公司,探头（深圳）,MIC-300-NH3,10990231,台,6,3500,21000,21000,张孝闽,
2023/1/4,XR43W2301002,福建圣农发展股份有限公司,氨气主机（深圳）,MIC-2000-32,10990230,台,3,5000,15000,15000,张孝闽,
2023/1/4,XR43W2301002,福建圣农发展股份有限公司,探头（深圳）,MIC-300-NH3,10990231,台,6,3500,21000,21000,张孝闽,
2023/1/4,XR43W2301001,福建圣农发展股份有限公司,氨气主机（深圳）,MIC-2000-32,10990230,台,3,5000,15000,15000,张孝闽,
2023/1/4,XR43W2301001,福建圣农发展股份有限公司,探头（深圳）,MIC-300-NH3,10990231,台,6,3500,21000,21000,张孝闽,
2023/1/4,XR43M2301002,福建圣农发展（浦城）有限公司,油过滤器滤芯,GTY4161-NJ-XR,01160080,件,10,800,8000,8000,张孝闽,
2023/1/9,XR43W2301006,福建圣农食品（浦城）有限公司,电缆线,YZ3×2.5+1×1.5(棕+黑+灰+黄绿),03240847,米,60,11.5,690,690,张孝闽,
2023/1/9,XR43M2301003,福建圣农食品有限公司,液位控制器,LB3 R717 40",01190046,件,1,13500,13500,13500,张孝闽,
2023/1/10,XR43M2301004,福建圣农发展（浦城）有限公司,油分滤芯,XRCFET-650/810,01160013,件,2,2124,4248,4248,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,氨气主机（深圳）,MIC-2000-32,10990230,台,1,6250,6250,6250,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,浪管,LNE-PA-Z(AD-34.5),03260127,米,18,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,金属软管(雷诺尔),LNE-JSB-25,03260164,米,18,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,浪管,LNE-PA-Z(AD-21.2),03260148,米,30,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,水平弯通(鑫马),50×50 镀锌+厚1.2,03190104,个,132,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,槽式桥架(鑫马),50×50 镀锌+厚1.2,03190241,米,660,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,防爆声光报警灯,BBJ-1，电压24V，红色，LED信号灯90分贝,0119031214,件,45,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,接线盒(TAYEE),B03601,03210045,个,44,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,浪管,LNE-PA-Z(AD-34.5),03260127,米,132,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,通讯中继模块(江苏精创电器),RCW-2,03220174,个,3,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,浪管,LNE-PA-Z(AD-21.2),03260148,米,220,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,电缆线(闳联),TRVV3×2.5,03240702,米,5000,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,金属软管(雷诺尔),LNE-JSB-25,03260164,米,132,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,网线带电源一体线无氧铜网线 复合300米,4芯0.5无氧铜＋2芯1.0无氧铜,0119031213,捆,16,0,0,,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,气体预处理在线监测系统,TH1000,19061559,件,10,5500,55000,55000,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,探头（深圳）,MIC-300-NH3,10990231,台,10,3290,32900,32900,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,氨气主机（深圳）,MIC-2000-32,10990230,台,1,6250,6250,6250,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,电缆线(闳联),RVV18×1.0,03240074,米,300,30,9000,9000,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,气体预处理在线监测系统,TH1000,19061559,件,20,5500,110000,110000,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,探头（深圳）,MIC-300-NH3,10990231,台,20,3290,65800,65800,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,氨气主机（深圳）,MIC-2000-32,10990230,台,1,6250,6250,6250,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,电缆线(闳联),RVV18×1.0,03240074,米,300,30,9000,9000,张孝闽,
2023/1/12,XR43W2301009,福建圣农食品有限公司,气体预处理在线监测系统,TH1000,19061559,件,14,5500,77000,77000,张孝闽,
